"Date","Google","bing","Yahoo!","Baidu","YANDEX","YANDEX RU","Ask Jeeves","DuckDuckGo","Naver","AOL","Haosou","Sogou","Babylon","Shenma","Seznam","Conduit","MSN","Mail.ru","Ecosia","Webcrawler","Daum","CocCoc","StartPagina (Google)","AVG Search","SweetIM","Windows Live","Other"
2017-04,92.48,2.89,2.01,1.11,0.35,0.36,0.03,0.16,0.09,0.02,0.12,0.04,0,0.14,0.03,0,0.05,0.04,0,0.01,0.02,0.01,0.01,0,0,0,0.03
2017-05,92.06,2.92,2.07,1.39,0.34,0.35,0.03,0.16,0.11,0.03,0.14,0.03,0,0.14,0.03,0,0.09,0.04,0,0.01,0.02,0.01,0,0,0,0,0.03
2017-06,91.88,2.88,2.18,1.45,0.38,0.38,0.02,0.17,0.12,0.03,0.16,0.05,0,0.08,0.03,0,0.08,0.05,0,0.01,0.02,0.01,0,0,0,0,0.03
2017-07,92.01,2.55,2.23,1.44,0.49,0.4,0.02,0.18,0.1,0.02,0.15,0.07,0,0.14,0.03,0,0.04,0.04,0,0.01,0.03,0.01,0,0,0,0,0.03
2017-08,91.64,2.52,2.32,1.53,0.5,0.36,0.02,0.2,0.1,0.02,0.16,0.08,0,0.21,0.04,0,0.18,0.04,0,0.01,0.03,0.01,0,0,0,0,0.03
2017-09,91.84,2.59,2.33,1.42,0.41,0.39,0.02,0.21,0.1,0.02,0.16,0.07,0,0.09,0.03,0,0.22,0.03,0,0.01,0.02,0.01,0,0,0,0,0.03
2017-10,91.47,2.75,2.25,1.8,0.41,0.42,0.02,0.23,0.11,0.02,0.16,0.08,0,0.07,0.03,0,0.05,0.04,0,0.01,0.03,0.01,0,0,0,0,0.03
2017-11,92.06,2.76,1.73,1.64,0.36,0.5,0.01,0.22,0.16,0.01,0.17,0.08,0,0.07,0.03,0,0.05,0.04,0,0.01,0.04,0.01,0,0,0,0,0.04
2017-12,91.79,2.75,1.61,1.66,0.39,0.57,0.01,0.23,0.16,0.01,0.16,0.09,0,0.35,0.03,0,0.05,0.04,0,0.01,0.04,0.01,0,0,0,0,0.04
2018-01,91.74,2.76,1.83,1.39,0.36,0.58,0.01,0.23,0.16,0,0.13,0.11,0,0.45,0.03,0,0.05,0.04,0,0.01,0.05,0.01,0,0,0,0,0.04
